fecha_referencia,anio,bimestre,consumo_total_mixto,consumo_prom_dom,consumo_total_dom,consumo_prom_mixto,consumo_total,consumo_prom,consumo_prom_no_dom,consumo_total_no_dom,indice_des,colonia,alcaldia,latitud,longitud
2019-06-30,2019,3,263.04,55.316875,885.07,65.76,1294,49.7692307692,24.315,145.89,BAJO,LA PRECIOSA,AZCAPOTZALCO,19.4878686375,-99.1937118265
2019-06-30,2019,3,355.87,33.3893103448,968.29,44.48375,1523.04,36.2628571429,39.776,198.88,POPULAR,LA PRECIOSA,AZCAPOTZALCO,19.4881549568,-99.1942353687
2019-06-30,2019,3,120.18,41.0826315789,1561.14,60.09,1936.1,46.0976190476,127.39,254.78,BAJO,LA PRECIOSA,AZCAPOTZALCO,19.4860851957,-99.1949117441
2019-06-30,2019,3,430.46,30.3278461538,1971.31,28.6973333333,2510.39,28.5271590909,13.5775,108.62,BAJO,LA PRECIOSA,AZCAPOTZALCO,19.4862038664,-99.1955323742
2019-06-30,2019,3,131.64,29.665,296.65,131.64,508.77,33.918,20.12,80.48,ALTO,TLALPAN CENTRO,TLALPAN,19.294651605,-99.1817155785
2019-06-30,2019,3,0,0,0,0,131.87,131.87,131.87,131.87,POPULAR,PRESIDENTE MADERO (U HAB),AZCAPOTZALCO,19.4955312206,-99.1996191463
2019-06-30,2019,3,499.78,17.6667934783,3250.69,62.4725,3791.09,19.3422959184,10.155,40.62,POPULAR,SAN JUAN TLIHUACA (PBLO),AZCAPOTZALCO,19.4927921195,-99.2062741183
2019-06-30,2019,3,0,0,0,0,0,0,0,0,POPULAR,EX-HACIENDA EL ROSARIO,AZCAPOTZALCO,19.4967520855,-99.2105402569
2019-06-30,2019,3,0,0,0,0,1075.89,119.543333333,119.543333333,1075.89,POPULAR,PROVIDENCIA,AZCAPOTZALCO,19.4894914821,-99.211981663
2019-06-30,2019,3,0,0,0,0,289.14,289.14,289.14,289.14,POPULAR,SAN JUAN TLIHUACA (PBLO),AZCAPOTZALCO,19.485531844,-99.2056010577
2019-06-30,2019,3,681.01,27.5507843137,1405.09,97.2871428571,2091.35,34.8558333333,2.625,5.25,BAJO,SANTA APOLONIA (BARR),AZCAPOTZALCO,19.4763276308,-99.1911342466
2019-06-30,2019,3,95.62,34.9091666667,837.82,47.81,1227.33,43.8332142857,146.945,293.89,BAJO,PETROLERA,AZCAPOTZALCO,19.487452954,-99.2010385859
2019-06-30,2019,3,0,0,0,0,451.4,150.466666667,150.466666667,451.4,POPULAR,PETROLERA,AZCAPOTZALCO,19.4839734348,-99.2001194068
2019-06-30,2019,3,0,24.8846153846,1294,0,1353.52,23.3365517241,9.92,59.52,MEDIO,PETROLERA,AZCAPOTZALCO,19.4859594986,-99.1993721646
2019-06-30,2019,3,32.94,38.1224242424,1258.04,32.94,1306.84,37.3382857143,15.86,15.86,BAJO,PETROLERA,AZCAPOTZALCO,19.4838189344,-99.199600868
2019-06-30,2019,3,0,40.765,244.59,0,346.46,49.4942857143,101.87,101.87,POPULAR,PLENITUD,AZCAPOTZALCO,19.4730553918,-99.1981551606
2019-06-30,2019,3,139.92,25.66,2283.74,69.96,2425.36,25.5301052632,0.425,1.7,BAJO,PETROLERA,AZCAPOTZALCO,19.4847610836,-99.1971379299
2019-06-30,2019,3,612.75,15.7372511848,3320.56,55.7045454545,4125.1,17.7806034483,19.179,191.79,POPULAR,SAN MATEO,AZCAPOTZALCO,19.4842339048,-99.1940617136
2019-06-30,2019,3,464.56,20.0271621622,2964.02,92.912,3697.53,23.2549056604,44.825,268.95,BAJO,AMPLIACION PETROLERA,AZCAPOTZALCO,19.4824678415,-99.1935385676
2019-06-30,2019,3,224.9,26.9175879397,5356.6,74.9666666667,5641.15,27.384223301,14.9125,59.65,POPULAR,SAN FRANCISCO TETECALA (PBLO),AZCAPOTZALCO,19.4816759808,-99.1909599632
2019-06-30,2019,3,528.77,21.7958114035,9938.89,66.09625,10905.89,23.0568498943,48.6922222222,438.23,BAJO,SAN BARTOLO CAHUALTONGO (PBLO),AZCAPOTZALCO,19.481704258,-99.1997826346
